codAuto;codMonitoramento;data;Elemento;km;Estado;Rodovia;Sentido;Altura;Largura;Diametro;Dimensão;EstadoConservacao;Localizacao;CaixaAla;Tipo;TipoMontante;MaterialRevestimento;formato;SIGLA;repararEntorno;medidaAproximada;elementoExcluido;motivoExclusao;Latitude1;Longitude1;OK;Limpeza;Assoreado;Afogado;TestaAlaDanificada;TubulacaoDanificada;CaixaDanificada;Erosao;FissurasTrincas;SemTampa;Tampadanificada;TampaDanificadaInexist;Estrutura;SemSolucaoImediata;TipoSemSolucaoImediata;DescricaoOutroSemSolucaoImediata;Observacao;funcionario;Marginal;Correcao;dataEnvio;InterferenciaTerceiros;TipoInterferenciaTerceiros;fotoInterna;descricaoFotoInterna;descricaoOutroFotoInterna;inacessivelRocada;Semestre;Ano;Controle;removido;lote;Foto1_Ficha;Foto2_Ficha;Foto1;Foto2;Foto3;Foto4;Foto5;Foto6;Foto7;Foto8;Foto9;Foto10;Foto11;Foto12;Foto13;Foto14;Foto15;Foto1_fichas_nova;Foto2_fichas_nova;Foto3_fichas_nova;Foto4_fichas_nova;observacaoAlteracao;sync;edit
3613;10645;8/9/2020;BUEIRO;000+000;ES;BR-101;NORTE;0,80;1,50;0,80;ø0,8;Bom;RODOVIA;CX;SIMPLES;MONTANTE;CONCRETO;TUBULAR;CLP;NÃO;NÃO;NÃO;NÃO;-20,78721025;-40,78330758;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;CAIXA COLETORA;N;;;;STHEFANO EMANUEL GIOVANETTI;N;N;8/9/2020;Não;;Sem Foto;Selada;;N;4;2020;;;BR-101;Drenagem_BU_000+000_000_ECO101_20200908_114321.jpg;Drenagem_BU_000+000_000_ECO101_20200908_114300.jpg;Drenagem_BU_000+000_000_ECO101_20200908_114321.jpg;Drenagem_BU_000+000_000_ECO101_20200908_114300.jpg;Drenagem_BU_000+000_000_ECO101_20200908_114252.jpg;Drenagem_BU_000+000_000_ECO101_20200908_114307.jpg;Drenagem_BU_000+000_000_ECO101_20200908_114312.jpg;Drenagem_BU_000+000_000_ECO101_20200908_114207.jpg;;;;;;;;;;;;;;;;
3726;10567;8/9/2020;BUEIRO;000+000;ES;BR-101;CANTEIRO CENTRAL;1,40;1,30;0,80;ø0,8;Bom;RODOVIA;CX;SIMPLES;MONTANTE;CONCRETO;TUBULAR;CCS;NÃO;NÃO;NÃO;NÃO;-20,78699053;-40,78344244;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;CAIXA COLETORA;N;;;;STHEFANO EMANUEL GIOVANETTI;N;N;8/9/2020;Não;;Tablet;;;N;4;2020;;;BR-101;Drenagem_BU_000+000_000_ECO101_20200908_113724.jpg;Drenagem_BU_000+000_000_ECO101_20200908_113857.jpg;Drenagem_BU_000+000_000_ECO101_20200908_113724.jpg;Drenagem_BU_000+000_000_ECO101_20200908_113857.jpg;Drenagem_BU_000+000_000_ECO101_20200908_113843.jpg;Drenagem_BU_000+000_000_ECO101_20200908_113838.jpg;;;;;;;;;;;;;;;;;;
3727;10568;8/9/2020;BUEIRO;000+000;ES;BR-101;NORTE;0,00;0,00;0,80;ø0,8;Bom;RODOVIA;ALA;SIMPLES;JUSANTE;CONCRETO;TUBULAR;BSTC;NÃO;NÃO;NÃO;NÃO;-20,78721986;-40,78332064;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;TESTA COM ALA;N;;;;STHEFANO EMANUEL GIOVANETTI;N;N;8/9/2020;Não;;;;;N;4;2020;;;BR-101;Drenagem_BU_000+000_000_ECO101_20200908_113954.jpg;Drenagem_BU_000+000_000_ECO101_20200908_114030.jpg;Drenagem_BU_000+000_000_ECO101_20200908_113954.jpg;Drenagem_BU_000+000_000_ECO101_20200908_114030.jpg;Drenagem_BU_000+000_000_ECO101_20200908_114006.jpg;Drenagem_BU_000+000_000_ECO101_20200908_114144.jpg;;;;;;;;;;;;;;;;;;
3728;10569;27/9/2020;BUEIRO;000+130;ES;BR-101;NORTE;1,50;1,30;0,80;ø0,8;Bom;RODOVIA;CX;SIMPLES;MONTANTE;CONCRETO;TUBULAR;CCS;NÃO;NÃO;NÃO;NÃO;-20,78781267;-40,78447858;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;CAIXA COLETORA;N;;;;EDNILSON APARECIDO DOS SANTOS;N;N;27/9/2020;Não;;Câmera;5722;;N;4;2020;;;BR-101;Drenagem_BU_000+130_107_ECO101_20200927_123834.jpg;27-09_DSC05722.jpg;Drenagem_BU_000+130_107_ECO101_20200927_123834.jpg;27-09_DSC05722.jpg;Drenagem_BU_000+130_107_ECO101_20200927_123847.jpg;Drenagem_BU_000+130_107_ECO101_20200927_123854.jpg;Drenagem_BU_000+130_107_ECO101_20200927_123859.jpg;Drenagem_BU_000+130_107_ECO101_20200927_123906.jpg;Drenagem_BU_000+130_107_ECO101_20200927_123842.jpg;;;;;;;;;;;;;;;
4721;10570;8/10/2020;BUEIRO;000+130;ES;BR-101;NORTE;0,00;0,00;0,80;ø0,8;Regular;RODOVIA;ALA;SIMPLES;JUSANTE;CONCRETO;TUBULAR;BSTC;NÃO;NÃO; ;;-20,787936;-40,7844289;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;TESTA COM ALA;N;;;;GUILHERME DE OLIVEIRA MONGE;N;N;8/10/2020;Não;;;;;N;4;2020;;;BR-101;Drenagem_BU_000+130_001_ECO101_20201008_123803.jpg;Drenagem_BU_000+130_001_ECO101_20201008_123935.jpg;Drenagem_BU_000+130_001_ECO101_20201008_123803.jpg;Drenagem_BU_000+130_001_ECO101_20201008_123935.jpg;Drenagem_BU_000+130_001_ECO101_20201008_123945.jpg;Drenagem_BU_000+130_001_ECO101_20201008_123957.jpg;Drenagem_BU_000+130_001_ECO101_20201008_124011.jpg;;;;;;;;;;;;;;;;;
3730;10572;27/9/2020;BUEIRO;000+170;ES;BR-101;SUL;2,00;2,00;0,00;2x2;Regular;ACESSO;ALA;TRIPLO;MONTANTE;CONCRETO;CELULAR;BTCC;NÃO;NÃO;NÃO;NÃO;-20,7880252355294;-40,7844917444633;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;TESTA COM ALA;N;;;;GILMAR APARECIDO ANACLETO;N;N;27/9/2020;Não;;;;;N;4;2020;;;BR-101;Drenagem_BU_000+170_394_ECO101_20200927_123724.jpg;Drenagem_BU_000+170_394_ECO101_20200927_123750.jpg;Drenagem_BU_000+170_394_ECO101_20200927_123724.jpg;Drenagem_BU_000+170_394_ECO101_20200927_123750.jpg;Drenagem_BU_000+170_394_ECO101_20200927_123744.jpg;Drenagem_BU_000+170_394_ECO101_20200927_123810.jpg;Drenagem_BU_000+170_394_ECO101_20200927_123829.jpg;Drenagem_BU_000+170_394_ECO101_20200927_123837.jpg;;;;;;;;;;;;;;;;
3731;10646;27/9/2020;BUEIRO;000+170;ES;BR-101;NORTE;0,45;0,30;0,80;ø0,8;Regular;ACESSO;CX;SIMPLES;MONTANTE;CONCRETO;TUBULAR;CCS;NÃO;NÃO;NÃO;NÃO;-20,7878485;-40,78487019;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;CAIXA COLETORA;N;;;;EDNILSON APARECIDO DOS SANTOS;N;N;27/9/2020;Não;;Câmera;5720;;N;4;2020;;;BR-101;Drenagem_BU_000+170_107_ECO101_20200927_123602.jpg;27-09_DSC05720.jpg;Drenagem_BU_000+170_107_ECO101_20200927_123602.jpg;27-09_DSC05720.jpg;Drenagem_BU_000+170_107_ECO101_20200927_123617.jpg;Drenagem_BU_000+170_107_ECO101_20200927_123630.jpg;Drenagem_BU_000+170_107_ECO101_20200927_123643.jpg;Drenagem_BU_000+170_107_ECO101_20200927_123650.jpg;Drenagem_BU_000+170_107_ECO101_20200927_123609.jpg;;;;;;;;;;;;;;;
3732;10571;27/9/2020;BUEIRO;000+180;ES;BR-101;NORTE;2,00;2,00;0,00;2x2;Bom;ACESSO;ALA;TRIPLO;JUSANTE;CONCRETO;CELULAR;BTCC;NÃO;NÃO;NÃO;NÃO;-20,7881826659547;-40,7846232767948;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;TESTA COM ALA;N;;;;GILMAR APARECIDO ANACLETO;N;N;27/9/2020;Não;;;;;N;4;2020;;;BR-101;Drenagem_BU_000+180_394_ECO101_20200927_123535.jpg;Drenagem_BU_000+180_394_ECO101_20200927_123615.jpg;Drenagem_BU_000+180_394_ECO101_20200927_123535.jpg;Drenagem_BU_000+180_394_ECO101_20200927_123615.jpg;Drenagem_BU_000+180_394_ECO101_20200927_123555.jpg;Drenagem_BU_000+180_394_ECO101_20200927_123545.jpg;;;;;;;;;;;;;;;;;;
3733;10647;27/9/2020;BUEIRO;000+180;ES;BR-101;NORTE;0,75;0,40;0,80;ø0,8;Regular;ACESSO;CX;SIMPLES;MONTANTE;CONCRETO;TUBULAR;BLC;NÃO;NÃO;NÃO;NÃO;-20,7879973;-40,78497389;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;CAIXA COLETORA;N;;;;EDNILSON APARECIDO DOS SANTOS;N;N;27/9/2020;Não;;Câmera;5719;;N;4;2020;;;BR-101;Drenagem_BU_000+180_107_ECO101_20200927_123344.jpg;27-09_DSC05719.jpg;Drenagem_BU_000+180_107_ECO101_20200927_123344.jpg;27-09_DSC05719.jpg;Drenagem_BU_000+180_107_ECO101_20200927_123402.jpg;Drenagem_BU_000+180_107_ECO101_20200927_123409.jpg;Drenagem_BU_000+180_107_ECO101_20200927_123415.jpg;Drenagem_BU_000+180_107_ECO101_20200927_123423.jpg;Drenagem_BU_000+180_107_ECO101_20200927_123354.jpg;;;;;;;;;;;;;;;
3734;10573;27/9/2020;BUEIRO;000+190;ES;BR-101;NORTE;0,00;0,00;0,80;ø0,8;Regular;RODOVIA;ALA;SIMPLES;JUSANTE;CONCRETO;TUBULAR;BSTC;NÃO;NÃO;NÃO;NÃO;-20,7881431084922;-40,784804180631;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;TESTA COM ALA;N;;;;GILMAR APARECIDO ANACLETO;N;N;27/9/2020;Não;;;;;N;4;2020;;;BR-101;Drenagem_BU_000+190_394_ECO101_20200927_123344.jpg;Drenagem_BU_000+190_394_ECO101_20200927_123430.jpg;Drenagem_BU_000+190_394_ECO101_20200927_123344.jpg;Drenagem_BU_000+190_394_ECO101_20200927_123430.jpg;Drenagem_BU_000+190_394_ECO101_20200927_123411.jpg;Drenagem_BU_000+190_394_ECO101_20200927_123353.jpg;;;;;;;;;;;;;;;;;;
