CodAuto;Identificação;Extensão;km inicial;km final;Tipo de Bueiro;Forma;Rodovia;MONTANTE;;;;;;;JUSANTE;;;;;;ESTADO DE CONSERVAÇÃO MONTANTE;;;;;;;;;;;ESTADO DE CONSERVAÇÃO JUSANTE;;;;;;;;;;Data;FOTOS;;FOTOS;
;;;;;;;;Dimensões (m);Lado;Dispositivo entrada;Material;Estado de Conservação;Coord. Montante (X);Coord. Montante (Y);Dimensões (m);Lado;Estrutura de saída;Material;Estado de Conservação;Coord. Jusante (X);Coord. Jusante (Y);OK;Limpeza;Assoreado;Afogado;Testa ou ala danificada;Tubulação danificada;Caixa danificada;Erosão;Fissuras/trincas;Tampa Danificada/Inexist.;OK;Limpeza;Assoreado;Afogado;Testa ou ala danificada;Tubulação danificada;Caixa danificada;Erosão;Fissuras/trincas;Tampa Danificada/Inexist.;;Montante;Montante pan.;Jusante;Jusante pan.
1;BU 101 BA 939+450 S 1;14,82;939+450;939+450;ALA;TUBULAR;;ø0,8;SUL;TESTA COM ALA;CONCRETO;Regular;-18,0440261933058;-39,8671943958255;ø0,8;NORTE;TESTA COM ALA;CONCRETO;Bom;-18,0440896;-39,8670711;;X;;;;;;;;;X;;;;;;;;;;26/9/2020;;;;
2;BU 101 BA 941+620 N 1;19,31;941+620;941+620;ALA;CELULAR;;3x3;NORTE;TESTA COM ALA;CONCRETO;Regular;-18,0619995;-39,8767625;3x3;SUL;TESTA COM ALA;CONCRETO;Regular;-18,0618615207485;-39,8768733982257;;X;;;;;;;;;;X;;;;;;;;;26/9/2020;;;;
3;BU 101 BA 942+480 S 1;30,66;942+480;942+480;ALA;TUBULAR;;ø1;SUL;TESTA COM ALA;CONCRETO;Regular;-18,0685469058145;-39,8810357240149;ø1;NORTE;TESTA COM ALA;CONCRETO;Regular;-18,0686509;-39,8807671;;X;;;;;;;;;;X;;;;;;;;;26/9/2020;;;;
4;BU 101 BA 942+620 S 1;169,75;942+620;942+800;ALA;TUBULAR;;ø0,8;SUL;TESTA COM ALA;CONCRETO;Bom;-18,0697084;-39,8816858;ø0,8;SUL;TESTA COM ALA;CONCRETO;Regular;-18,0710177040212;-39,8825114818116;X;;;;;;;;;;;X;;;;;;;;;26/9/2020;;;;
5;BU 101 BA 943+500 S 1;19,32;943+500;943+500;ALA;TUBULAR;;ø1;SUL;TESTA COM ALA;CONCRETO;Regular;-18,0764316816071;-39,8857126118499;ø1;NORTE;TESTA COM ALA;CONCRETO;Bom;-18,0765539;-39,8855827;;X;;;;;;;;;X;;;;;;;;;;26/9/2020;;;;
6;BU 101 BA 944+300 S 1;13,03;944+300;944+300;ALA;TUBULAR;;ø0,6;SUL;TESTA COM ALA;CONCRETO;Bom;-18,0820186;-39,8905072;ø0,6;SUL;TESTA COM ALA;CONCRETO;Regular;-18,0821152677211;-39,8905768135359;X;;;;;;;;;;;X;;;;;;;;;26/9/2020;;;;
7;BU 101 BA 944+320 S 2;18,93;944+320;944+320;ALA;TUBULAR;;ø1;SUL;TESTA COM ALA;CONCRETO;Bom;-18,0819126432977;-39,8909031844229;ø1;SUL;TESTA COM ALA;CONCRETO;Bom;-18,0820823114445;-39,8908886308797;X;;;;;;;;;;X;;;;;;;;;;26/9/2020;;;;
8;BU 101 BA 944+340 N 2;17,69;944+340;944+340;ALA;TUBULAR;;ø1;NORTE;TESTA COM ALA;CONCRETO;Bom;-18,0827812;-39,8904613;ø1;NORTE;TESTA COM ALA;CONCRETO;Bom;-18,08290494;-39,89035608;X;;;;;;;;;;X;;;;;;;;;;26/9/2020;;;;
9;BU 101 BA 944+340 S 1;16,98;944+340;944+340;ALA;TUBULAR;;ø0,6;SUL;TESTA COM ALA;CONCRETO;Regular;-18,0820053602656;-39,8913322753321;ø0,6;SUL;TESTA COM ALA;CONCRETO;Bom;-18,0821572660986;-39,8913484084367;;;;;X;;;;;;X;;;;;;;;;;26/9/2020;;;;
10;BU 101 BA 944+490 S 1;9,4;944+490;944+490;ALA;TUBULAR;;ø0,6;SUL;TESTA COM ALA;CONCRETO;Bom;-18,0831860634751;-39,8916742750862;ø0,6;SUL;TESTA COM ALA;CONCRETO;Bom;-18,0831031308349;-39,8916916914735;X;;;;;;;;;;X;;;;;;;;;;26/9/2020;;;;
11;BU 101 BA 946+890 S 1;62,96;946+890;946+890;ALA;CELULAR;;1,5x1,5;SUL;TESTA COM ALA;CONCRETO;Regular;-18,1022840844093;-39,89104522915;1,5x1,5;NORTE;TESTA COM ALA;CONCRETO;Regular;-18,1018735;-39,8914554;;X;;;;;;;;;;X;;;;;;;;;26/9/2020;;;;
12;BU 101 BA 947+405 N 1;7,46;947+405;947+400;ALA;TUBULAR;;ø0,2;NORTE;TESTA SEM ALA;CONCRETO;Bom;-18,1020334;-39,8865429;ø0,2;NORTE;TESTA SEM ALA;CONCRETO;Regular;-18,1019894;-39,8865962;X;;;;;;;;;;;X;;;;;;;;;26/9/2020;;;;
13;BU 101 BA 947+550 S 1;35,6;947+550;947+490;ALA;TUBULAR;;ø1;SUL;TESTA SEM ALA;CONCRETO;Regular;-18,1031769830797;-39,8858614692363;ø1;NORTE;TESTA COM ALA;CONCRETO;Bom;-18,1028922;-39,8857075;;X;;;;;;;;;X;;;;;;;;;;26/9/2020;;;;
14;BU 101 BA 948+670 S 1;11,83;948+670;948+680;CX;TUBULAR;;ø0,4;SUL;CAIXA COLETORA;CONCRETO;Regular;-18,1116276741944;-39,8854027515902;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Regular;-18,1116752;-39,8853026;;X;;;;;;;;;;X;;;;;;;;;8/10/2020;;;;
15;BU 101 BA 948+680 S 1;25,48;948+680;948+710;CX;TUBULAR;;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Regular;-18,1116752;-39,8853026;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Regular;-18,1117903;-39,8855111;;X;;;;;;;;;;X;;;;;;;;;26/9/2020;;;;
16;BU 101 BA 948+680 S 2;1,06;948+680;948+680;CX;TUBULAR;;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Regular;-18,1116728;-39,8853123;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Regular;-18,1116752;-39,8853026;;X;;;;;;;;;;X;;;;;;;;;26/9/2020;;;;
17;BU 101 BA 948+690 S 1;15,81;948+690;948+710;CX;TUBULAR;;ø0,4;SUL;CAIXA COLETORA;METALICO;Bom;-18,111664;-39,8856289;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Regular;-18,1117737;-39,8855338;X;;;;;;;;;;;X;;;;;;;;;26/9/2020;;;;
18;BU 101 BA 948+710 S 1;37,22;948+710;948+730;CX;TUBULAR;;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Regular;-18,1117903;-39,8855111;ø0,4;SUL;CAIXA COLETORA;CONCRETO;Bom;-18,112041529585;-39,8857437579358;;X;;;;;;;;;X;;;;;;;;;;26/9/2020;;;;
19;BU 101 BA 948+710 S 2;35,99;948+710;948+730;CX;TUBULAR;;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Regular;-18,1117737;-39,8855338;ø0,4;SUL;CAIXA COLETORA;CONCRETO;Regular;-18,112020572526;-39,8857540087842;;X;;;;;;;;;;X;;;;;;;;X;26/9/2020;;;;
20;BU 101 BA 948+730 S 1;3,78;948+730;948+730;CX;TUBULAR;;ø0,4;SUL;CAIXA COLETORA;CONCRETO;Regular;-18,1120430032011;-39,8857271183776;ø0,4;SUL;CAIXA COLETORA;CONCRETO;Regular;-18,112020572526;-39,8857540087842;;X;;;;;;;;;;X;;;;;;;;X;26/9/2020;;;;
21;BU 101 BA 948+730 S 2;20,7;948+730;948+740;CX;TUBULAR;;ø0,4;SUL;CAIXA COLETORA;CONCRETO;Regular;-18,112020572526;-39,8857540087842;ø0,4;SUL;CAIXA COLETORA;CONCRETO;Regular;-18,1122061077084;-39,8857703142588;;X;;;;;;;;X;;X;;;;;;;;X;26/9/2020;;;;
22;BU 101 BA 948+730 S 3;0,83;948+730;948+730;CX;TUBULAR;;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Regular;-18,1120679;-39,885663;ø0,4;SUL;CAIXA COLETORA;CONCRETO;Bom;-18,1120613;-39,8856593;;;;;;;;;;X;X;;;;;;;;;;26/9/2020;;;;
23;BU 101 BA 948+730 S 4;9,02;948+730;948+730;CX;TUBULAR;;ø0,4;SUL;CAIXA COLETORA;CONCRETO;Bom;-18,112041529585;-39,8857437579358;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Regular;-18,1120679;-39,885663;X;;;;;;;;;;;;;;;;;;;X;26/9/2020;;;;
24;BU 101 BA 948+730 S 5;18,18;948+730;948+740;CX;TUBULAR;;ø0,4;SUL;CAIXA COLETORA;CONCRETO;Bom;-18,1120613;-39,8856593;ø0,4;SUL;CAIXA COLETORA;CONCRETO;Bom;-18,1121974333277;-39,8857546325111;X;;;;;;;;;;X;;;;;;;;;;26/9/2020;;;;
25;BU 101 BA 948+740 S 1;2,63;948+740;948+740;CX;TUBULAR;;ø0,4;SUL;CAIXA COLETORA;CONCRETO;Bom;-18,1121974333277;-39,8857546325111;ø0,4;SUL;CAIXA COLETORA;CONCRETO;Bom;-18,1122167497624;-39,8857402673651;X;;;;;;;;;;X;;;;;;;;;;26/9/2020;;;;
26;BU 101 BA 948+740 S 2;27,22;948+740;948+760;CX;TUBULAR;;ø0,4;SUL;CAIXA COLETORA;CONCRETO;Bom;-18,1121792798942;-39,8857536590279;ø0,4;SUL;CAIXA COLETORA;CONCRETO;Regular;-18,1123508739402;-39,8859373689966;X;;;;;;;;;;;X;;;;;;;;;26/9/2020;;;;
27;BU 101 BA 948+740 S 3;3,46;948+740;948+740;CX;TUBULAR;;ø0,4;SUL;CAIXA COLETORA;CONCRETO;Regular;-18,1122061077084;-39,8857703142588;ø0,4;SUL;CAIXA COLETORA;CONCRETO;Bom;-18,1121792798942;-39,8857536590279;;X;;;;;;;;X;X;;;;;;;;;;26/9/2020;;;;
28;BU 101 BA 948+740 S 4;4,4;948+740;948+740;CX;TUBULAR;;ø0,4;SUL;CAIXA COLETORA;CONCRETO;Bom;-18,1122167497624;-39,8857402673651;ø0,4;SUL;CAIXA COLETORA;CONCRETO;Bom;-18,1121792798942;-39,8857536590279;X;;;;;;;;;;X;;;;;;;;;;26/9/2020;;;;
29;BU 101 BA 948+740 S 5;14,13;948+740;948+740;CX;TUBULAR;;ø0,4;SUL;CAIXA COLETORA;CONCRETO;Regular;-18,11215156;-39,88589103;ø0,4;SUL;CAIXA COLETORA;CONCRETO;Regular;-18,1122061077084;-39,8857703142588;;X;;;;;;;;X;;X;;;;;;;;X;8/10/2020;;;;
30;BU 101 BA 948+750 S 1;6,01;948+750;948+760;CX;TUBULAR;;ø0,3;SUL;CAIXA COLETORA;CONCRETO;Regular;-18,1123873225824;-39,8859793094564;ø0,4;SUL;CAIXA COLETORA;CONCRETO;Regular;-18,1123508739402;-39,8859373689966;;X;;;;;;;;;;X;;;;;;;;;26/9/2020;;;;
31;BU 101 BA 948+750 S 2;4,51;948+750;948+750;CX;TUBULAR;;ø0,2;SUL;CAIXA COLETORA;CONCRETO;Regular;-18,1123408503025;-39,8861664440795;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Bom;-18,11233332;-39,88612447;;X;;;;;;;;X;X;;;;;;;;;;26/9/2020;;;;
32;BU 101 BA 948+750 S 3;16,47;948+750;948+750;CX;TUBULAR;;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Bom;-18,11233332;-39,88612447;ø0,3;SUL;CAIXA COLETORA;CONCRETO;Regular;-18,1123873225824;-39,8859793094564;X;;;;;;;;;;;X;;;;;;;;;8/10/2020;;;;
33;BU 101 BA 948+750 S 4;10,49;948+750;948+750;CX;TUBULAR;;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Regular;-18,1122394796745;-39,8861142175857;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Bom;-18,11233332;-39,88612447;;;;;;X;;;;;X;;;;;;;;;;26/9/2020;;;;
